#{"t_start": 1766304136.6743689, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-62.58946,477,61.477593
-73.90138,221,81.804523
-99.505487,266,107.082802
-135.849842,1010,202.634
-88.563771,250,225.705312
-84.644077,306,254.336037
-102.7209,108,264.825156
-116.871264,870,346.937063
-84.361564,130,360.615762
-82.943355,205,379.30228
-89.691457,117,390.634015
-160.877613,1426,525.780929
-158.017276,1186,637.782073
-90.591404,122,649.646488
-116.113135,131,662.239321
-15.409797,579,717.075598
-89.06867,182,733.756281
-100.684409,235,755.174291
-38.130702,649,816.097961
-125.471363,295,844.128056
-58.794276,662,906.229761
-74.670842,363,940.84672
-91.350594,2000,1129.776635
-86.416317,246,1152.203344
-97.379959,168,1168.1914
-156.573703,1419,1302.055639
-81.401933,124,1314.223699
-89.478474,152,1328.608388
-68.536385,225,1349.044629
-85.247369,159,1363.979739
-79.384013,128,1376.228765
-72.892127,206,1395.080732
-101.616984,102,1404.901232
-74.757743,171,1421.020971
-102.364686,2000,1613.866345
-104.325158,321,1645.16966
-115.909355,820,1721.803709
-71.575341,520,1771.834812
-65.150086,2000,1959.494441
-31.660372,305,1987.901017
-104.917171,342,2019.31719
-98.517622,461,2062.422718
-80.401865,289,2089.607473
-131.068734,264,2114.888306
-87.459498,144,2128.524414
-106.239221,1045,2227.820497
-90.943221,287,2254.936787
-85.390757,218,2275.121747
-17.126649,683,2340.966581
-55.447635,583,2396.700216
-69.048423,318,2426.869239
-88.645326,138,2440.156732
-61.625801,296,2472.339164
-66.050063,2000,2665.115981
-80.083088,122,2676.987026
-59.628203,209,2698.10183
-101.243232,176,2715.076521
-61.744796,483,2761.962693
-87.228712,196,2781.943405
-55.546237,248,2805.150408
-93.085673,139,2818.615122
-87.648718,134,2831.629438
-83.618249,155,2846.574739
-66.103477,334,2879.461027
-87.569149,181,2897.189977
91.728753,2000,3092.338
-96.670404,161,3107.945473
-70.619781,824,3187.524937
-121.946955,545,3240.471992
-58.469043,2000,3434.8095
-177.147171,1380,3567.45504
-86.787993,181,3585.924989
-18.381182,842,3667.400396
-87.303262,172,3684.745582
-75.999536,213,3704.605333
-87.341961,177,3721.481289
-98.602351,384,3759.024733
-42.832975,437,3801.176586
-69.799542,293,3829.546524
-14.751765,593,3886.589849
-76.956409,159,3901.854683
-88.236587,146,3916.20205
-69.609092,258,3941.763057
-96.457326,253,3966.818161
-45.645909,284,3994.169047
-42.777149,257,4018.251821
-77.315139,208,4039.204019
-46.002763,479,4085.643489
-99.479833,272,4112.71935
-113.176525,375,4149.696391
-69.456446,447,4192.858843
-91.989568,217,4213.178141
-83.081597,157,4228.661745
-134.104036,728,4298.611936
-80.370918,161,4314.01176
-98.164073,331,4346.832804
-43.740996,339,4379.733717
