#{"t_start": 1766227557.2403119, "env_id": "BipedalWalker-v3"}
r,l,t
-100.068576,85,16.356876
-84.791289,1600,17.924046
-114.424327,122,18.041835
-102.806652,85,18.152046
-98.84544,86,18.249027
-82.682194,1600,19.76493
-76.117354,1600,21.812325
-120.562196,115,21.959634
-100.7397,78,22.066917
-76.083338,1600,23.915109
-101.797673,51,23.968285
-97.827061,95,24.060039
-116.283874,94,24.169299
-116.77867,56,24.227374
-87.413924,1600,25.8111
-98.880415,69,25.878281
-97.134877,108,26.003188
-84.298081,1600,47.35832
-121.183705,92,50.538265
-117.838156,87,53.123512
-88.953226,1600,108.007038
-87.439172,1600,160.30934
-122.159092,109,164.639625
-98.339871,125,168.394386
-115.180557,65,170.326883
-99.837223,110,173.598971
-112.689339,70,176.335036
-90.934003,1600,229.022065
-100.653662,68,231.056533
-89.340108,1600,283.266153
-113.051754,71,285.376372
-100.098399,97,288.272261
-108.167332,49,289.72922
-114.988832,73,292.683396
-112.654441,56,294.624862
-109.087557,51,296.146202
-90.936465,1600,348.038442
-105.955445,1600,399.697904
-99.554151,1600,451.141231
-93.790672,1600,502.439109
-166.323096,1282,543.550782
-169.159302,594,562.5702
-153.325571,951,593.322598
-124.025037,389,605.81968
-117.886782,73,607.975623
-133.310111,219,615.441399
-145.487692,256,622.925899
-120.863348,72,625.05367
-134.336262,189,631.680143
-166.288178,558,649.267487
-135.756797,161,655.060818
-127.931911,1600,707.465524
-137.121889,218,713.969084
-115.587127,40,715.169809
-121.475923,48,717.100646
-117.586754,140,721.772235
-114.857838,54,723.363789
-113.588614,94,726.184086
-151.449426,339,737.164548
-115.787388,47,738.536746
-115.053566,58,740.218714
-116.71802,198,747.080401
-137.911263,143,751.273014
-116.717786,83,753.696563
-156.62423,327,764.445715
-125.635663,108,767.881633
-116.81306,85,771.191614
-118.526251,80,773.593453
-118.532868,91,776.301437
-121.538059,81,778.708918
-119.552654,90,782.059175
-142.160774,328,792.18151
-113.057509,104,796.307461
-127.89182,262,804.003259
-120.785665,121,808.505647
-108.08755,157,813.150687
-107.382554,90,815.811585
-130.38739,168,821.869074
-132.300139,153,826.372109
-129.379146,145,830.634676
-115.698504,62,833.000075
-100.975446,1600,884.848733
-101.131727,1600,936.27093
-117.829795,68,938.743032
-117.800916,81,941.13115
-106.776159,1600,992.564316
-113.334449,700,1015.194974
-122.71943,266,1023.097844
-125.963014,245,1031.505819
-119.797864,184,1036.937877
-122.020934,98,1040.876639
-49.805278,1600,1092.083793
-2.32465,1600,1143.313509
-91.173853,1600,1194.842999
-96.862123,1600,1246.062969
-67.407658,1600,1297.146332
-77.466467,1600,1348.188801
-72.652844,1600,1403.811186
-80.985823,1600,1456.5054
-111.739835,47,1457.957636
-72.501603,1600,1510.998467
-59.167042,1600,1565.320602
-132.449149,1485,1615.113104
-72.986299,650,1637.770938
-110.053072,428,1653.284027
-107.521555,219,1660.922649
-135.876079,1600,1719.891786
-115.826105,67,1722.093779
-20.695607,1600,1779.302576
-40.744352,1600,1835.986931
-100.330081,84,1838.715974
-114.432125,72,1841.170124
-98.419223,104,1845.41808
-83.930383,1600,1900.840394
-58.074771,1600,1956.469337
-73.300492,1600,2014.883564
-42.943214,1600,2071.121284
-68.162112,1600,2129.424076
-50.240319,1600,2187.581552
-114.249122,89,2190.771691
-58.874418,1600,2248.584777
122.009652,1600,2309.552484
150.009486,1600,2368.384015
178.50539,1600,2425.88553
90.655189,1548,2482.135321
-4.587503,808,2511.617345
91.369872,1318,2559.951055
-43.636178,478,2577.444227
-35.746189,578,2597.96876
-56.703657,399,2613.022966
258.255737,1519,2668.589737
253.557561,1584,2726.657267
261.352931,1494,2780.58541
264.927696,1518,2836.048501
150.448249,1387,2886.182417
268.591341,1412,2937.682408
269.095307,1361,2987.048693
268.551251,1332,3033.496414
-124.550173,119,3038.495076
279.193974,1235,3082.880156
-90.285535,1600,7927.733096
-101.706798,67,7927.816404
-80.165516,1600,7929.539656
-119.411325,76,7929.622005
-101.685001,113,7929.764463
-87.041507,1600,7931.494235
-83.696221,1600,7933.656497
-109.397754,50,7933.733873
-122.251139,84,7933.850499
-104.880559,69,7933.950522
-101.773381,59,7934.047768
-74.005726,1600,7936.125963
-89.802574,1600,7943.864404
-97.959131,69,7948.453565
-109.180156,48,7950.859638
-111.183518,62,7954.078073
-113.380626,86,7959.011436
-121.763589,138,7966.736425
-126.08462,93,7972.641734
-118.44277,96,7977.865117
-96.190975,1600,8068.340407
-90.389526,1600,8158.612369
-103.79232,88,8163.12917
-102.643466,59,8167.168714
-86.251145,1600,8257.347451
-107.127187,53,8260.101994
-87.897828,1600,8350.004747
-91.030753,1600,8439.760866
-89.4387,1600,8529.659875
-114.897161,109,8535.564271
-226.232827,1565,8622.5468
-105.215462,97,8628.544043
-120.663581,80,8632.629156
-165.520992,859,8680.739723
-124.343153,66,8684.173646
-8.271439,1600,8773.843354
-124.589316,110,8780.107233
-179.973232,846,8826.772125
-137.840203,217,8838.878616
-149.392569,454,8864.100491
-119.937875,77,8868.042742
-135.3296,199,8879.251364
-113.299099,209,8891.01741
-127.846716,329,8909.795225
-117.488987,76,8913.644958
-121.610425,132,8920.887289
-125.645262,69,8924.915552
-135.273641,84,8929.194931
-125.435887,101,8935.419835
-133.519948,84,8939.749827
-129.656405,89,8944.313775
-132.735989,113,8951.204107
-130.193276,121,8957.418397
-111.502007,199,8968.737962
-123.915199,137,8976.768487
-122.591896,90,8981.415866
-134.066134,130,8989.130003
-124.58328,76,8993.066252
-126.417821,87,8998.275746
-127.585652,97,9003.590673
-122.266891,72,9007.35925
-108.293917,117,9014.257935
-128.924351,108,9019.726233
-136.141265,179,9029.819474
-118.474456,78,9033.852681
-122.322881,84,9039.189819
-128.66272,263,9053.661685
-123.645149,224,9066.263194
-88.501795,1600,9155.053552
-146.541874,176,9164.691558
-104.330056,94,9169.762442
-103.844949,112,9175.51427
-131.454353,1600,9264.191075
-100.534027,1600,9352.789963
-100.103477,1600,9440.856007
-123.995306,1600,9527.727759
-225.546485,1285,9597.165643
-110.110935,1600,9684.108351
-109.622361,1600,9771.246874
-137.607826,435,9795.054267
-107.052242,132,9802.390303
-113.289962,198,9812.491913
-130.258417,1455,9895.078663
-112.104754,139,9902.454551
-119.411201,160,9911.898133
-151.090238,1561,10000.423123
-125.568369,973,10053.727294
-98.949124,319,10070.090304
-98.112441,150,10078.659832
-102.635527,74,10082.26835
-102.179838,61,10086.217971
-104.921847,62,10089.33297
-104.212121,68,10092.606131
-103.004091,112,10099.231185
-102.202655,299,10115.153857
-99.539602,71,10118.732697
-113.925541,266,10133.251566
-101.029162,90,10138.748879
-99.819979,67,10142.037545
-98.524216,84,10146.018288
-100.126051,68,10150.477105
-99.301876,69,10154.09128
-115.890554,92,10158.863248
-98.894179,78,10163.934899
-98.377359,73,10167.599148
-100.718374,81,10171.760711
-99.016453,79,10176.879461
-99.684641,83,10181.098412
-98.268186,70,10184.629393
-102.012701,125,10191.888142
-101.849368,90,10196.224849
-100.080377,105,10202.47363
-101.965845,115,10208.194599
-99.525582,90,10213.683421
-101.349731,123,10219.740611
-99.537323,65,10222.843441
-101.06119,97,10228.594196
-101.6701,107,10234.16822
-98.850448,80,10239.287406
-100.00847,92,10243.93429
-99.161464,85,10248.279192
-14.397992,1600,10335.039451
-97.760588,1600,10421.057979
-125.991039,1600,10506.832497
-89.7671,1600,10594.503743
-10.071405,1600,10679.920549
-73.093523,279,10696.146126
-62.280847,369,10716.29734
-24.487923,1600,10804.981379
-32.078119,1600,10891.775921
-35.524463,1600,10978.997865
-10.116749,1600,11066.78939
-65.520134,546,11096.178086
49.669199,1600,11183.341708
-45.223217,440,11207.424299
-18.296191,1600,11296.070709
125.806131,1427,11374.285187
-35.556062,470,11399.523728
-50.484271,258,11413.427226
4.831948,1600,11498.198535
111.162682,1406,11572.873138
18.787325,748,11612.524692
-26.249246,428,11635.375345
56.056601,664,11670.026276
234.814221,1600,11756.459231
-78.539043,276,11771.675336
-54.577212,251,11785.974499
270.843283,1364,11864.003937
-77.73173,237,11877.5016
273.525664,1313,11953.22524
91.168324,765,11996.770969
-71.225629,154,12005.941848
149.098827,992,12062.350563
-43.873125,249,12076.551608
-50.729523,281,12093.492805
-78.405111,152,12101.491511
-48.520565,235,12114.969299
50.439475,563,12147.697618
59.781123,683,12187.197747
285.86756,1248,12259.701778
276.649741,1357,12338.136672
289.291109,1164,12405.213758
291.164322,1120,12469.769538
290.08096,1093,12533.144122
-14.301209,370,12555.078923
293.17551,1054,12617.089814
81.265221,624,12653.651399
296.477481,1049,12714.946599
298.140264,1076,12778.302424
297.474351,1093,12842.130564
300.161636,1097,12906.348476
300.805017,1022,12965.226497
300.889374,1067,13027.437272
300.951742,999,13085.792013
131.373174,786,13131.791612
300.667529,1041,13194.912908
303.942936,1042,13257.478047
306.79153,954,13315.712351
303.687289,1029,13378.540441
164.039908,869,13431.533334
